Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_percentage
90047937,1,Dandenong,0,0,1.004007642,-0.004700081
90049188,9,Dandenong,0,0,8.998620204,0.004311364
90051139,14,Dandenong,0,0,14.00340784,0.000222425
90051275,2,Dandenong,0,0,2.00254269,0.004085636
90052916,9,Dandenong,0,0,9.001919685,-0.00371828
90053104,3,Dandenong,0,0,2.998257587,0.001933508
90053418,2,Dandenong,0,0,2.001819354,-0.003587394
90053715,1,Dandenong,0,0,0.99699133,0.003931658
90054690,8,Dandenong,0,0,8.003803946,0.003843658
90055388,2,Dandenong,0,0,1.999495398,-0.002268251
90056621,12,Dandenong,0,0,11.99613067,-0.003577109
90057408,8,Dandenong,0,0,8.003462725,-0.001643752
90057890,6,Dandenong,0,0,5.998082385,0.00086544
90058786,1,Dandenong,0,0,0.999136227,-0.003820268
90059584,3,Dandenong,0,0,2.997237296,-0.001875665
90060945,11,Dandenong,1,9,11.00318269,9.001153328
90060950,1,Dandenong,0,0,1.00059174,-0.000950314
90063300,1,Dandenong,0,0,0.995040436,-0.001766975
90068267,12,Dandenong,1,8,12.00166563,7.998970576
90068451,4,Dandenong,0,0,4.002830874,-0.001601087
90071350,6,Dandenong,0,0,6.00367309,-0.004051896
90071662,2,Dandenong,0,0,1.9957073,0.002809846
90072373,14,Dandenong,1,7,14.00106516,6.999033664
90074642,1,Dandenong,0,0,1.001182632,-0.004763335
90075211,1,Dandenong,0,0,0.998666206,0.004685927
90075767,10,Dandenong,0,0,10.0046974,-0.002869556
90076316,5,Dandenong,0,0,4.995778271,0.003616635
90077401,3,Dandenong,0,0,2.997126581,6.93088E-05
90078140,7,Dandenong,1,14,6.998090569,14.00176402
90080314,2,Dandenong,0,0,2.001970439,0.00056087
90081957,2,Dandenong,0,0,2.001755751,0.004412237
90082317,5,Dandenong,0,0,5.00084529,-0.001433111
90082515,13,Dandenong,0,0,12.9956698,-0.000128448
90082724,1,Dandenong,0,0,1.001560645,-0.00034275
90083180,4,Dandenong,0,0,4.002868789,0.000571097
90083199,11,Dandenong,1,9,11.0000421,9.001075014
90085012,1,Dandenong,0,0,0.99574549,0.004630954
90085273,1,Dandenong,0,0,0.998320046,0.002698837
90086726,5,Dandenong,0,0,4.998246645,-0.003337732
90088199,4,Dandenong,0,0,3.998682521,0.00025553
90090296,25,Dandenong,0,0,24.99515841,-0.000139887
90091034,5,Dandenong,0,0,4.998039522,0.004664349
90093122,1,Dandenong,0,0,0.995652325,-0.000212507
